id,name,country,status,formed_in,active
35420,Zuckuss,Canada,Active,1997,1997-present
35421,Zune,Italy,Active,2002,2002-present
35422,Zuul Fx,France,Active,2003,2003-present
35423,Zyanide,Switzerland,On hold,2005,2005-2012
35424,Zygote,United Kingdom,Split-up,2003,2003-?
35425,Zyklon,Norway,Split-up,1998,1998-2010
35426,Zyon,Argentina,Active,2001,2001-present
35427,Złośliwy Pomruk Odbytnicy,Poland,Active,2008,2008-present
35428,Ágona,Brazil,Active,2005,2005-present
35429,Æther Realm,United States,Active,2010,2010-present
35430,Ö-Nirik,France,Active,2006,2006-present
35431,Überhate,Mexico,Split-up,2011,2011-2016
35432,Šmiercieslaŭ,Belarus,Active,1998,1998-present
35433,Γέννα από Κώλο,Greece,Active,2005,2005-present
35434,Авентайл,Russia,Active,1998,1998-present
35435,Ангелы Помнят,Russia,Changed name,2007,2007-2011| 2011-present (as Transformer)
35436,Антагония,Ukraine,Active,2010,2010-present
35437,Аравт,Mongolia,Active,2014,2014-present
35438,Велиар,Russia,Active,2005,2000-2005 (as Чёрный Легион)| 2005-present
35439,Во Скорбях,Russia,Split-up,2005,2005-2011
35440,Волчий Острог,Russia,Active,2008,2008-present
35441,Гул Таоса,Russia,Active,2009,2009-present
35442,Ексхуматор,Bulgaria,Active,1992,1992-1999| 2012-present
35443,Живые Руины,Russia,Active,2013,2013-present
35444,Ирбис,Russia,Active,2007,2007-present
35445,Квіти Знедолених Берегів,Ukraine,Active,2013,2013-present
35446,Летаргия,Ukraine,Active,2007,2007-present
35447,Магистериум,Russia,Active,2002,2002-present
35448,Наполненное Пустотой,Russia,Active,2002,2002-present
35449,Неметон,Russia,Split-up,2001,2001-2006
35450,Немоляев/Селезнёв,Russia,On hold,2007,2007-?
35451,Опустошённый Разум,Russia,Split-up,2008,2008-2011
35452,Откровения Дождя,Russia,Active,2001,2001-present
35453,Плач Тишины,Russia,Active,2008,2008-present
35454,Полинове Поле,Ukraine,Split-up,2005,2005-2012
35455,Путь Солнца,Russia,Active,2006,2006-present
35456,Родогор,Russia,Split-up,2005,2005-2008
35457,Рождение Ветра,Russia,Active,2004,?-2004 (as Пыль Сотворения)| 2004-present
35458,Русская Зима,Russia,Changed name,2002,2002-2013| 2013-present (as Вечный Огонь)
35459,Сечь,Russia,Changed name,N/A,?-2015| 2015-2016 (as Родъ)| 2016-present (as Род)
35460,Шумовая Экзекуция,Kazakhstan,Active,2006,2006-present
35461,Эскалада,Russia,Active,2008,2008-present
35462,ヴェルテクス,Japan,Active,2008,2008-present
35463,北川,China,Active,2015,2015-present
35464,東虎,Japan,Active,N/A,N/A
35465,甲胄,China,Active,2002,2002-present
35466,突围而出,China,Unknown,N/A,N/A
35467,邪影修羅神,Japan,Active,N/A,N/A
35468,Armageddon,Sweden,Active,1997,1997| 2000| 2002| 2012-present
35469,Cemetary,Sweden,Split-up,1989,1989-1997| 2001-2005
35470,Monastery,Hungary,Split-up,1989,1989-?| 2001-2007
35471,Reactor,Ukraine,Active,1988,1988-present
35472,Semen Across Lips,United States,Split-up,2004,2004-2007
35473,Sentenced,Finland,Split-up,1989,1988-1989 (as Deformity)| 1989-2005
35474,Shambles,Thailand,Active,1997,1997-present
35475,Valdur,United States,Active,1999,1999-present
35476,Clanraven,Germany,Split-up,2000,2000-?
35477,Monsterworks,New Zealand,Active,1996,1996-present
35478,Abused,Sweden,Split-up,2001,2001-2008
35479,Acheode,Italy,On hold,2007,2007-2014
35480,Act of God,Russia,Active,1996,1996-present
35481,Adimiron,Italy,Active,1999,? (as Angels of Darkness)| 1999-present
35482,Agiel,United States,Active,1997,1997-present
35483,Agonizing Terror,Portugal,Split-up,1993,1993 (as Pain Posessed)| 1993-1994 (as Obnoxious Odium)| 1994-1999
35484,Alien Autopsy,Ukraine,On hold,2006,2006-2014
35485,Alienation Mental,Czech Republic,Split-up,1996,1996-2011
35486,Amethyste,France,Unknown,1993,1993-?
35487,Aposthate,Italy,Active,2004,2004-present
35488,Arghoslent,United States,On hold,1990,? (as Pogrom)| 1990-present
35489,Argon,Malaysia,Active,1999,1999-2005| 2013-present
35490,Artifact of Skulls,United States,Active,2015,2015-present
35491,Asarhaddon,France,Changed name,N/A,1996-2001| 2001-present (as The Next Fall)
35492,Asylium,Sweden,Active,2003,2003-present
35493,Atropina,Brazil,Active,1996,1996-2004| 2004-2007 (as Legis Edax)| 2012-present
35494,Austerymn,United Kingdom,Active,2007,1990-1991 (as Perpetual Infestation)| 1991-1996 (as Godless Truth)| 2007-present
35495,Autumn Leaves,Denmark,Split-up,1993,1992-1993 (as Decrial)| 1993-2001
35496,Avatar,Romania,Active,1994,1994-present
35497,Barbarity,Russia,Active,2002,2002-present
35498,Belligerence,Czech Republic,Active,2004,2004-present
35499,Beyond Terror Beyond Grace,Australia,Unknown,2004,2004-?
35500,Blacksunrise,Portugal,Split-up,2002,2002-2011
35501,Blessings of Ruin,United States,Active,2004,2004-present
35502,Blood Stain Child,Japan,Active,1999,1999-2000 (as Visionquest)| 2000-present
35503,Bloodshot Dawn,United Kingdom,Active,2003,2003-present
35504,Braindead,Poland,Active,1998,1998-present
35505,By Brute Force,Germany,Active,2001,2001-present
35506,Cadacross,Finland,Split-up,1997,1997-2006
35507,Cadaveric Infection,Brazil,Active,2009,2009-present
35508,Carnal Gore,Italy,Active,2005,2005-present
